Nr     Name                         Prov.Desig     Taxon1   Ref  Taxon_al Refs
       2003 AJ73                    2003 AJ73      S/Sr     E51  S/Sr     E51  
       2003 ED50                    2003 ED50      Scomp    E51  Scomp    E51  
       2003 FS2                     2003 FS2       Cg       A45  Cg       A45
       2003 FT3                     2003 FT3       S/Sr     E51  V;S/Sr   692,A45,E51
       2003 FU3                     2003 FU3       V        692  V        692,A45
       2003 GJ21                    2003 GJ21      V        692  V        692,A45
       2003 MJ4                     2003 MJ4       Q        E51  Q        E51  
       2003 MT9                     2003 MT9       S/Sr     E51  S/Sr     E51  
       2003 RL10                    2003 RL10      S/Sr     E51  S/Sr     E51  
       2003 RS1                     2003 RS1       X        996  X        996
       2003 UV11                    2003 UV11      Q        E51  Q        E51  
       2003 XM                      2003 XM        T        996  T        996
       2004 FG11                    2004 FG11      V        A31  V        A31,A58
       2004 QJ7                     2004 QJ7       Q        E51  Q        E51  
       2004 RQ10                    2004 RQ10      Sq       F82  Sq       F82
       2004 SV55                    2004 SV55      Xe       B49  Xe       B49
       2004 TB18                    2004 TB18      A/S      A89  AS       A89
       2004 TD10                    2004 TD10      S        E42  S        E42
       2004 TP1                     2004 TP1       Q        F82  Q;Sq     F82,E51
       2004 XD50                    2004 XD50      R        A89  R        A89
       2004 YZ23                    2004 YZ23      P        996  P        996
       2005 AT42                    2005 AT42      S        996  S        996
       2005 ED318                   2005 ED318     Q        E51  Q        E51  
       2005 GU                      2005 GU        S/Sr     E51  S/Sr     E51  
       2005 RQ6                     2005 RQ6       S/Sr     E51  S/Sr     E51  
       2005 UL5                     2005 UL5       Scomp    E51  Sq,Scomp D81,E51
       2005 YU55                    2005 YU55      C        A31  C        A31,A58
       2006 BN55                    2006 BN55      Scomp    E51  Scomp    E51     
       2006 DP14                    2006 DP14      X        E18  X,C      E18
       2006 HQ30                    2006 HQ30      Sq/Q     E51  Sq/Q     E51  
       2006 NM                      2006 NM        Scomp    E51  Scomp    E51     
       2006 UL217                   2006 UL217     Scomp    E51  Scomp    E51     
       2006 UM                      2006 UM        Sq       E51  Sq       E51  
       2006 UR                      2006 UR        R        A89  R        A89
       2006 YT13                    2006 YT13      A/R      A89  AR       A89
       2007 DT103                   2007 DT103     Sq/Q     E51  Sq/Q     E51  
       2007 LE                      2007 LE        C        C20  C        C20
       2007 MK13                    2007 MK13      C        A58  C;XT     A58,A89
       2007 ML13                    2007 ML13      Sl       C93  Sl       C93 
       2007 RF5                     2007 RF5       Sq       E51  Sq       B34,D81,E51
       2007 RU17                    2007 RU17      Q        E51  Q        E51  
       2007 UR3                     2007 UR3       X        A89  X        A89
       2007 VR183                   2007 VR183     Scomp    E51  Scomp    E51  
       2008 AF4                     2008 AF4       S/Sr     E51  S/Sr     E51  
       2008 BT18                    2008 BT18      V        964  V        964
       2008 CL1                     2008 CL1       Q        E51  Q        E51  
       2008 DE                      2008 DE        Scomp    E51  Scomp    E51  
       2008 EE5                     2008 EE5       Sl       A58  Sl       A58
       2008 EV5                     2008 EV5       C        A58  C;X      A58,A89
       2008 HS3                     2008 HS3       Q        E51  Q        E51  
       2008 JT35                    2008 JT35      Scomp    E51  Scomp    E51  
       2008 QS11                    2008 QS11      Scomp    E51  Scomp    E51  
       2008 SQ1                     2008 SQ1       Sq       E51  Sq       E51  
       2008 SV11                    2008 SV11      CX       A58  CX       A58
       2008 UE7                     2008 UE7       Sq/Q     E51  Sq/Q     E51  
       2008 YZ32                    2008 YZ32      B        A89  B        A89
       2009 AV                      2009 AV        S/Sr     E51  S/Sr     E51  
       2009 DD45                    2009 DD45      S        941  S        941
       2009 DL46                    2009 DL46      D        H88  D        H88    
       2009 KC3                     2009 KC3       C/X      A58  CX,C,Xe  A58,A40
       2009 KD5                     2009 KD5       L        A44  L        A44,A58,A51
       2009 OG                      2009 OG        S        A58  S        A58
       2009 QJ9                     2009 QJ9       Scomp    E51  Scomp    E51  
       2009 SC15                    2009 SC15      V        E49  V        E49 
       2009 SQ104                   2009 SQ104     Sq       E49  Sq       E49
       2009 UD2                     2009 UD2       S        A58  S        A58
       2009 UN3                     2009 UN3       Scomp    E51  S        A34,A58,E51
       2009 UV18                    2009 UV18      S/Sr     E51  Ld;A;S   A58,A89,E51
       2009 VY25                    2009 VY25      C        H88  C        H88    
       2009 WZ104                   2009 WZ104     R        C13  R;Q      C13
       2009 XR2                     2009 XR2       R        A89  R        A89
       2010 AE30                    2010 AE30      S        A89  S        A89
       2010 BB                      2010 BB        Q        F82  Q        F82
       2010 CM44                    2010 CM44      Sq/Q     E51  Sq/Q     E51  
       2010 GU21                    2010 GU21      X        A58  X        A58
       2010 MF1                     2010 MF1       K        A73  K        A73
       2010 TD54                    2010 TD54      S        A88  S        A88
       2011 BT15                    2011 BT15      A        E49  A        E49  
       2011 EZ78                    2011 EZ78      Sq       E51  Sq       E51  
       2011 HP                      2011 HP        Xc       B19  Xc       B19
       2011 LJ19                    2011 LJ19      Scomp    E51  Scomp    E51  
       2011 OV4                     2011 OV4       Q        E51  Q        E51  
       2011 PS                      2011 PS        Q        E51  Q        E51  
       2011 UE256                   2011 UE256     S        540  S        540
       2011 WV134                   2011 WV134     S        C32  S        C32
       2011 XA3                     2011 XA3       V        E30  S/V      E30
       2012 BF86                    2012 BF86      S        H88  S        H88    
       2012 CK2                     2012 CK2       C        H88  C        H88    
       2012 EG5                     2012 EG5       Ch       C08  Ch       C08
       2012 JR17                    2012 JR17      X        H88  X        H88    
       2012 KP24                    2012 KP24      C        C40  C        C40
       2012 KT42                    2012 KT42      B        C40  B        C40
       2012 LZ1                     2012 LZ1       P        C33  X        C33
       2012 NP                      2012 NP        A        H85  A        H85
       2012 QG42                    2012 QG42      S        D38  S        D38
       2012 VF37                    2012 VF37      Sq/Sr    F82  Sq/Sr    F82
       2013 RH74                    2013 RH74      Sq       D83  Sq       D83
       2014 CR                      2014 CR        Xc       E21  Xc       E21
       2014 RC11                    2014 RC11      S        H88  S        H88    
       2014 YS34                    2014 YS34      A        H85  A        H85
       2015 HB117                   2015 HB117     A        H85  A        H85
       2015 LH                      2015 LH        A        H85  A        H85
       2015 OL35                    2015 OL35      S        H88  S        H88    
       2015 OS35                    2015 OS35      C        H88  C        H88    
       2015 TB179                   2015 TB179     A        H85  A        H85
       2015 TW144                   2015 TW144     A        H85  A        H85
       2015 TX143                   2015 TX143     S        H88  S        H88    
       2015 YN1                     2015 YN1       S        H88  S        H88    
       2016 AF165                   2016 AF165     C        H88  C        H88    
       2016 EM28                    2016 EM28      X        H88  X        H88    
       2016 FC13                    2016 FC13      Sk       F89  Sk       F89
       2016 FE1                     2016 FE1       T        F89  T        F89
       2016 FY3                     2016 FY3       Sk       F89  Sk       F89  
       2016 GN221                   2016 GN221     X        H88  X        H88    
       2016 LY47                    2016 LY47      S        H88  S        H88    
       2016 LZ10                    2016 LZ10      C        H88  C        H88    
       2016 NV                      2016 NV        S        H88  S        H88    
503277 2015 RT83                    2015 RT83      S        H88  S        H88    
482796 2013 QJ10                    2013 QJ10      S        H88  S        H88    
474238 2001 RU17                    2001 RU17      X        H88  X        H88    
469722 2005 LP40                    2005 LP40      S        H88  S        H88    
468741 2010 VM1                     2010 VM1       S        H88  S        H88    
468540 2006 MD12                    2006 MD12      S        H88  S        H88    
468468 2004 KH17                    2004 KH17      S        H88  S        H88    
468452 2003 SD170                   2003 SD170     C        H88  C        H88    
468005 2012 XD112                   2012 XD112     S        H88  S        H88    
467527 2007 LA15                    2007 LA15      X        H88  X        H88    
466508 2014 GY48                    2014 GY48      S        H88  S        H88    
463282 2012 HR15                    2012 HR15      X        H88  X        H88    
459046 2012 AS10                    2012 AS10      S        H88  S        H88    
458723 2011 KQ12                    2011 KQ12      V        H88  V        H88    
458375 2010 WY8                     2010 WY8       S        H88  S        H88    
457663 2009 DN1                     2009 DN1       X        H88  X        H88    
455199 2000 YK4                     2000 YK4       D        H88  D        H88    
453729 2011 BO24                    2011 BO24      S        H88  S        H88    
452397 2002 PD130                   2002 PD130     S        H88  S        H88    
451370 2011 AK5                     2011 AK5       C        H88  C        H88    
447221 2005 UO5                     2005 UO5       S        H88  S        H88    
445974 2013 BJ18                    2013 BJ18      S        H88  S        H88    
444584 2006 UK                      2006 UK        A        H85  A        H85
443880 2001 UZ16                    2001 UZ16      C        H88  C        H88    
442243 2011 MD11                    2011 MD11      S        H88  S        H88    
441987 2010 NY65                    2010 NY65      S        H88  S        H88    
436771 2012 JG11                    2012 JG11      S        H88  S        H88    
430804 2005 AD13                    2005 AD13      C        H88  C        H88    
418416 2008 LV16                    2008 LV16      S        H88  S        H88    
411201 2010 LJ14                    2010 LJ14      V        H88  V        H88    
405212 2003 QC10                    2003 QC10      C/Xn     F66  C/Xn     F66
399774 2005 NB7                     2005 NB7       S/Sr     E51  S/Sr     E51  
387733 2003 GS                      2003 GS        S        E33  S        E33
385343 2002 LV                      2002 LV        S/Sr     E51  L,T;QX;S A41,A89,D81,E51
380455 2003 UL3                     2003 UL3       V/O/Q    F66  V/O/Q    F66
374855 2006 VQ13                    2006 VQ13      Sq/Q     E51  Sq/Q     E51  
374851 2006 VV2                     2006 VV2       Scomp    E51  S        936,E51
367943 2012 DA14                    2012 DA14      L        D11  L        D11
366833 2005 MC                      2005 MC        Sr       D81  Sr;X     B34,A89,D81
363814 2005 ND7                     2005 ND7       S/Sr     E51  S/Sr     E51  
363790 2005 JE46                    2005 JE46      C/X/T    D81  C/X/T    D81
363305 2002 NV16                    2002 NV16      Q        E49  Q        E49  
363075 2000 OG8                     2000 OG8       Scomp    E51  Scomp    E51  
363067 2000 CO101                   2000 CO101     X        D81  Xk;X     664,D81
357439 2004 BL86                    2004 BL86      V        F38  V        F38,F22
356285 2010 DE                      2010 DE        S        H88  S        H88    
352143 2007 LR32                    2007 LR32      Scomp    E51  Scomp    E51  
350751 2002 AW                      2002 AW        B        F82  B        F82
350523 2000 EA14                    2000 EA14      Q        E49  Q        E49  
347813 2002 NP1                     2002 NP1       Q        D81  Q        D81
345853 2007 PU11                    2007 PU11      S/Sr     E51  S/Sr     E51  
345705 2006 VB14                    2006 VB14      Q        E51  Q        E51  
