Number,Name,DynClass,u-v,u-g,u-r,u-i,u-z,v-g,v-r,v-i,v-z,g-r,g-i,i-z,g-z,r-i,r-z,complex,complex1,complex2,nc
68346,"       2001 KZ66","         NEA>Apollo",,,,,,,,,,0.3676,0.6436,0.0205,0.4721,0.2782,0.0511,S,"pU","pS",1
108519,"         2001 LF","           NEA>Amor",,,,,,,,,,0.1657,,,,,,C,"  ","  ",5
178871,"        2001 MA8","           NEA>Amor",,,,,,,,,,0.2292,0.1586,,,-0.0706,,C,"  ","  ",5
68350,"        2001 MK3","           NEA>Amor",,,,,,,,,,0.4879,,,,,,S,"  ","  ",5
54789,"        2001 MZ7","           NEA>Amor",,,,,,,,,,0.331,0.4572,-0.0022,0.4055,0.1262,0.0745,X,"pX","pB",1
108906,"        2001 PL9","         NEA>Apollo",,,,,,,,,,0.5297,,,,,,S,"  ","  ",5
446833,"       2001 RB12","         NEA>Apollo",,,,,,,,,,0.7075,,,,,,U,"  ","  ",5
153591,"      2001 SN263","           NEA>Amor",,,,,,,,,,0.3427,0.4269,,,0.0842,,U,"  ","  ",5
347634,"      2001 SW269","         NEA>Apollo",,,,,,,,,,0.3404,,,,,,S,"  ","  ",5
413091,"       2001 UV16","           NEA>Amor",,,,,,,,,,0.4029,,,,,,S,"  ","  ",5
140928,"       2001 VG75","           NEA>Amor",,,,,,,,,,0.8141,,,,,,U,"  ","  ",5
89355,"       2001 VS78","           NEA>Amor",,,,,,,,,,0.3693,,,,,,S,"  ","  ",5
153842,"       2001 XT30","           NEA>Amor",,,,,,,,,,0.363,,-0.0422,,,,U,"pU","pK",2
275976,"       2001 XV10","         NEA>Apollo",,,,,,,,,,0.2708,,,,,,C,"  ","  ",5
313276,"        2002 AX1","           NEA>Aten",,,,,,,,,,0.3704,,,,,,S,"  ","  ",5
89830,"         2002 CE","           NEA>Amor",,,,,,,,,,0.4564,0.7785,,,0.3221,,S,"  ","  ",5
