Number,Name,properH,DynClass,grcomplex
477327,"2009 TB8",,"NEA>Apollo",B
,"2008 QC",,"NEA>Amor",S
,"2008 QC",,"NEA>Amor",S
189058,"2000 UT16",,"NEA>Amor",X
,"2020 BW",,"NEA>Aten",U
,"2007 TL23",,"NEA>Apollo",U
,"2009 UQ5",,"NEA>Amor",U
293054,"2006 WP127",,"NEA>Apollo",C
277958,"2006 SP134",,"NEA>Apollo",D
345646,"2006 TN",,"NEA>Amor",C
408869,"2001 SD348",,"NEA>Amor",U
,"2019 UJ13",,"NEA>Amor",V
5011,"Ptah",,"NEA>Apollo",S
,"2019 TG5",,"NEA>Amor",U
280244,"2002 WP11",,"NEA>Amor",D
345646,"2006 TN",,"NEA>Amor",C
,"2003 AL18",,"NEA>Apollo",C
163667,"2002 WC1",,"NEA>Amor",V
,"1994 AH2",,"NEA>Apollo",V
382875,"2004 KE1",,"NEA>Amor",S
,"2003 SF170",,"NEA>Amor",B
,"2013 OM2",,"NEA>Apollo",U
475665,"2006 VY13",,"NEA>Amor",V
,"2007 GW5",,"NEA>Amor",U
,"2002 AR129",,"NEA>Amor",U
,"2010 TM167",,"NEA>Apollo",V
,"2016 BN1",,"NEA>Amor",V
530974,"2012 BN11",,"NEA>Apollo",V
391033,"2005 TR15",,"NEA>Amor",S
,"2006 FG36",,"NEA>Amor",C
,"2010 AG40",,"NEA>Apollo",V
5011,"Ptah",,"NEA>Apollo",S
,"2010 TM167",,"NEA>Apollo",V
,"2013 QH11",,"NEA>Apollo",U
447755,"2007 JX2",,"NEA>Apollo",U
,"2011 UC115",,"NEA>Amor",V
25143,"Itokawa",,"NEA>Apollo",S
136795,"1997 BQ",,"NEA>Apollo",U
,"2010 TM167",,"NEA>Apollo",V
382745,"2003 CC",,"NEA>Apollo",V
489203,"2006 JT",,"NEA>Amor",U
,"2011 UC115",,"NEA>Amor",V
162980,"2001 RR17",,"NEA>Apollo",S
194006,"2001 SG10",,"NEA>Apollo",C
,"2006 TN",,"NEA>Amor",C
,"2001 EC16",,"NEA>Apollo",U
143624,"2003 HM16",,"NEA>Apollo",S
,"2019 WD5",,"NEA>Apollo",U
,"2011 UC115",,"NEA>Amor",V
143624,"2003 HM16",,"NEA>Apollo",S
,"2016 WJ1",,"NEA>Apollo",V
,"2013 YZ37",,"NEA>Amor",S
163667,"2002 WC1",,"NEA>Amor",V
382745,"2003 CC",,"NEA>Apollo",V
,"2004 BE86",,"NEA>Amor",V
